03036000;Bacalhaus (Gadus morhua, Gadus ogac, Gadus
03036100;Espadartes (Xiphias gladius)
03036200;Marlongas (Dissostichus spp)
03037100;Sardinhas (Sardina pilchardus, Sardinops spp),
03037200;Haddocks (eglefinos* ou arincas*) (Melanogrammus
03037300;Peixescarvão (escamudos negros*) (Pollachius
03037400;Cavalas, cavalinhas e sardas* (Scomber scombrus,
03037500;Esqualos
03037600;Enguias (Anguilla spp)
03037700;Percas (robalos* e bailas*) (Dicentrarchus labrax,
03037800;Merluzas (pescadas*) (Merluccius spp) e abróteas
03037900;Outros
03038000;Fígados, ovas e sêmen
03041010;Filés
03041090;Outras
03041110;Filés
03041190;Outras
03041210;Filés
03041290;Outras
03041910;Filés
03041990;Outras
03042000;Filés congelados
03042100;Espadartes (Xiphias gladius)
03042200;Marlongas (Dissostichus spp)
03042900;Outros
03049000;Outros
03049100;Espadartes (Xiphias gladius)
03049200;Marlongas (Dissostichus spp)
03049900;Outros
03051000;Farinhas, pós e "pellets", de peixe, próprios para
03052000;Fígados, ovas e sêmen, de peixes, secos,
03053010;Secos
03053020;Salgados ou em salmoura
03054100;Salmõesdopacífico (Oncorhynchus nerka,
03054200;Arenques (Clupea harengus, Clupea pallasii)
03054900;Outros
03055100;Bacalhaus (Gadus morhua, Gadus ogac, Gadus
03055900;Outros
03056100;Arenques (Clupea harengus, Clupea pallasii)
03056200;Bacalhaus (Gadus morhua, Gadus ogac, Gadus
03056300;Anchovas (Engraulis spp)
03056900;Outros
03061100;Lagostas (Palinurus spp, Panulirus spp, Jasus
03061200;Lavagantes ("homards") (Homarus spp)
03061300;Camarões
03061410;Santolas (Lithodes antarcticus)
03061490;Outros
03061900;Outros, incluídos as farinhas, pós e "pellets", de
03062100;Lagostas (Palinurus spp, Panulirus spp, Jasus
03062200;Lavagantes ("homards") (Homarus spp)
03062300;Camarões
03062421;Santolas (Lithodes antarcticus)
03062429;Outros
03062490;Outros
03062900;Outros, incluídos as farinhas, pós e "pellets", de
03071000;Ostras
03072100;Vivos, frescos ou refrigerados
03072900;Outros
03073100;Vivos, frescos ou refrigerados
03073900;Outros
03074100;Vivos, frescos ou refrigerados
03074900;Outros
03075100;Vivos, frescos ou refrigerados
03075900;Outros
03076000;Caracóis, exceto os do mar
03079120;Ouriçosdomar, frescos ou refrigerados
03079190;Outros
03079910;Ouriçosdomar, congelados
03079990;Outros
04011000;Com um teor, em peso, de matérias gordas, não
04012000;Com um teor, em peso, de matérias gordas, superior
04013010;Leite
04013020;Creme de leite (nata*)
04021000;Em pó, grânulos ou outras formas sólidas, com um
04022110;Leite
04022120;Creme de leite (nata*)
04022910;Leite
04022920;Creme de leite (nata*)
04029110;Leite
04029120;Creme de leite (nata*)
04029910;Leite
04029920;Creme de leite (nata*)
04031010;Não aromatizado nem adicionado de frutas nem cacau
04031090;Outros
04039010;Não aromatizado nem adicionado de frutas nem cacau
04039090;Outros
04041010;Não concentrado, sem adição de açúcar nem de
04041020;Concentrado ou adicionado de açúcar ou de outros
04049010;Não concentrado, sem adição de açúcar nem de
04049020;Concentrado ou adicionado de açúcar ou de outros
04051000;Manteiga
04052000;Pastas de espalhar (barrar) de produtos
04059010;Óleo butírico de manteiga ("butter oil")
04059090;Outras
04061010;Requeijão
04061090;Outros
04062000;Queijos ralados ou em pó, de qualquer tipo
04063000;Queijos fundidos, exceto ralados ou em pó
04064000;Queijos de pasta mofada (azul*)
04069000;Outros queijos
04070010;Para incubação
04070090;Outros
04081100;Secas
04081900;Outras
04089100;Secos
04089900;Outros
04090000;Mel natural
04100000;Produtos comestíveis de origem animal, não
05010000;Cabelos em bruto, mesmo lavados ou
05021010;Cerdas
05021020;Desperdícios
05029010;Pêlos
05029020;Desperdícios
